fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp
5080,2.6.3,38,103.149.39.14,4,103.149.39.14,94.204.188.69,ICMP,52.0,64,"[{'rtt': 292.495552}, {'rtt': 212.397708}, {'rtt': 233.995763}, {'rtt': 216.644437}, {'rtt': 188.309085}]",0,5,5,188.309085,292.495552,228.768509,210958049,1000245,1789322072,Ping,94.204.188.69,ping,210958049,,1789322073
5080,2.6.2,48,103.149.39.14,4,103.149.39.14,172.17.21.55,ICMP,49.0,64,"[{'rtt': 206.460376}, {'rtt': 202.920576}, {'rtt': 215.213226}, {'rtt': 234.431443}, {'rtt': 225.305813}, {'rtt': 203.168309}, {'rtt': 215.299709}, {'rtt': 210.568897}, {'rtt': 207.882434}, {'rtt': 203.349231}]",0,10,10,202.920576,234.431443,212.4600014,210958049,1008400,1789322073,Ping,217.113.12.12,ping,210958049,,1789322073
5080,2.6.2,37,103.149.39.14,4,103.149.39.14,172.18.0.2,ICMP,38.0,64,"[{'rtt': 359.178994}, {'rtt': 318.67874}, {'rtt': 376.315759}, {'rtt': 402.171767}, {'rtt': 319.708543}, {'rtt': 331.710721}]",0,6,6,318.67874,402.171767,351.2940873333334,210958049,1008829,1789322073,Ping,49.207.135.164,ping,210958049,,1789322074
5110,2.6.4,30,103.149.39.14,4,103.149.39.14,192.168.1.12,ICMP,54.0,64,"[{'rtt': 207.798393}, {'rtt': 406.284383}, {'rtt': 191.64812}, {'rtt': 254.760409}, {'rtt': 353.929706}, {'rtt': 177.546651}, {'rtt': 191.921245}, {'rtt': 188.323534}, {'rtt': 202.277711}, {'rtt': 178.744307}]",0,10,10,177.546651,406.284383,235.32344590000002,210958049,1010710,1789322073,Ping,182.77.69.234,ping,210958049,,1789322073
5130,2.6.4,26,103.149.39.14,4,103.149.39.14,172.17.0.7,ICMP,49.0,64,"[{'rtt': 341.013561}, {'rtt': 205.004419}, {'rtt': 205.385575}, {'rtt': 221.129281}, {'rtt': 429.260131}, {'rtt': 1053.216358}, {'dup': 1, 'rtt': 1321.193418}, {'rtt': 1485.468599}, {'dup': 1, 'rtt': 1908.961829}]",2,7,7,205.004419,1485.468599,562.9254177142857,210958049,1010769,1789322072,Ping,150.228.11.125,ping,210958049,,1789322072
5130,2.6.4,8,103.149.39.14,4,103.149.39.14,176.28.64.223,ICMP,52.0,64,"[{'rtt': 238.993385}, {'rtt': 210.127722}, {'rtt': 222.950661}, {'rtt': 407.907418}, {'rtt': 1039.014128}, {'dup': 1, 'rtt': 1327.942496}, {'rtt': 1481.590522}, {'dup': 1, 'rtt': 1918.919457}, {'rtt': 1657.183454}, {'dup': 1, 'rtt': 921.207173}]",3,7,7,210.127722,1657.183454,751.1096128571428,210958049,1017377,1789322073,Ping,176.28.64.223,ping,210958049,,1789322074
5080,2.6.2,37,103.149.39.14,4,103.149.39.14,132.64.6.35,ICMP,47.0,64,"[{'rtt': 200.663374}, {'rtt': 199.142455}, {'rtt': 205.240254}, {'rtt': 199.729964}, {'rtt': 197.46329}, {'rtt': 228.530934}, {'rtt': 203.978098}, {'rtt': 215.483636}, {'rtt': 199.52683}, {'rtt': 201.090964}]",0,10,10,197.46329,228.530934,205.0849799,210958049,17882,1789322073,Ping,132.64.6.35,ping,210958049,,1789322073
5080,2.6.2,55,103.149.39.14,4,103.149.39.14,192.168.5.104,ICMP,51.0,64,"[{'rtt': 255.466065}, {'rtt': 275.539393}, {'rtt': 229.124077}, {'rtt': 290.100272}, {'rtt': 246.494186}, {'rtt': 217.201599}, {'rtt': 212.817084}, {'rtt': 202.698568}, {'rtt': 237.711224}]",0,9,9,202.698568,290.100272,240.79471866666668,210958049,20980,1789322072,Ping,79.170.160.253,ping,210958049,,1789322073
5080,2.6.2,68,103.149.39.14,4,103.149.39.14,192.168.1.2,ICMP,48.0,64,"[{'rtt': 174.460514}, {'rtt': 166.540965}, {'rtt': 179.258729}, {'rtt': 156.703314}, {'rtt': 179.111835}, {'rtt': 162.600512}, {'rtt': 146.351133}, {'rtt': 157.007503}, {'rtt': 151.040857}, {'rtt': 150.951649}]",0,10,10,146.351133,179.258729,162.4027011,210958049,61350,1789322072,Ping,168.149.86.241,ping,210958049,,1789322072
5080,2.6.2,37,103.149.39.14,4,103.149.39.14,192.168.131.2,ICMP,42.0,64,"[{'rtt': 256.966}, {'rtt': 227.791273}, {'rtt': 233.540227}, {'rtt': 232.919206}, {'rtt': 275.016216}, {'rtt': 223.937062}, {'rtt': 244.943163}, {'rtt': 258.270525}, {'rtt': 224.130921}, {'rtt': 225.408164}]",0,10,10,223.937062,275.016216,240.29227569999998,210958049,62704,1789322072,Ping,188.117.77.27,ping,210958049,,1789322074
